bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,meanTime
TWOCOND,RANDOMRANDOM,take,100,10,2,1051.0
TWOCOND,RANDOMRANDOM,take,100,10,3,1984.0
TWOCOND,RANDOMRANDOM,take,100,10,4,3021.0
TWOCOND,RANDOMRANDOM,take,100,10,5,4036.0
TWOCOND,RANDOMRANDOM,take,100,10,6,4929.0
TWOCOND,RANDOMRANDOM,take,100,10,7,5923.0
TWOCOND,RANDOMRANDOM,take,100,10,8,7043.0
TWOCOND,RANDOMRANDOM,take,100,10,9,7802.0
TWOCOND,RANDOMRANDOM,take,100,10,10,9176.0
TWOCOND,RANDOMRANDOM,take,100,10,11,9938.0
TWOCOND,RANDOMRANDOM,take,100,10,12,10910.0
TWOCOND,RANDOMRANDOM,take,100,10,13,12319.0
TWOCOND,RANDOMRANDOM,take,100,10,14,13029.0
TWOCOND,RANDOMRANDOM,take,100,10,15,14046.0
TWOCOND,RANDOMRANDOM,take,100,10,16,14953.0
TWOCOND,RANDOMRANDOM,take,100,10,17,16142.0
TWOCOND,RANDOMRANDOM,take,100,10,18,16964.0
TWOCOND,RANDOMRANDOM,take,100,10,19,18430.0
TWOCOND,RANDOMRANDOM,take,100,10,20,19285.0
TWOCOND,RANDOMRANDOM,take,100,10,21,20559.0
TWOCOND,RANDOMRANDOM,take,100,10,22,21827.0
TWOCOND,RANDOMRANDOM,take,100,10,23,22712.0
TWOCOND,RANDOMRANDOM,take,100,10,24,23972.0
TWOCOND,RANDOMRANDOM,take,100,10,25,25078.0
TWOCOND,RANDOMRANDOM,take,100,10,26,26142.0
TWOCOND,RANDOMRANDOM,take,100,10,27,27081.0
TWOCOND,RANDOMRANDOM,take,100,10,28,28842.0
TWOCOND,RANDOMRANDOM,take,100,10,29,30046.0
TWOCOND,RANDOMRANDOM,take,100,10,30,31348.0
TWOCOND,RANDOMRANDOM,take,100,10,31,32244.0
TWOCOND,RANDOMRANDOM,take,100,10,32,33409.0
TWOCOND,RANDOMRANDOM,take,100,10,33,35462.0
TWOCOND,RANDOMRANDOM,take,100,10,34,35682.0
TWOCOND,RANDOMRANDOM,take,100,10,35,38055.0
TWOCOND,RANDOMRANDOM,take,100,10,36,39018.0
TWOCOND,RANDOMRANDOM,take,100,10,37,40581.0
TWOCOND,RANDOMRANDOM,take,100,10,38,41385.0
TWOCOND,RANDOMRANDOM,take,100,10,39,43718.0
TWOCOND,RANDOMRANDOM,take,100,10,40,44093.0
TWOCOND,RANDOMRANDOM,take,100,10,41,45898.0
TWOCOND,RANDOMRANDOM,take,100,10,42,47748.0
TWOCOND,RANDOMRANDOM,take,100,10,43,48375.0
TWOCOND,RANDOMRANDOM,take,100,10,44,50062.0
TWOCOND,RANDOMRANDOM,take,100,10,45,51372.0
TWOCOND,RANDOMRANDOM,take,100,10,46,52790.0
TWOCOND,RANDOMRANDOM,take,100,10,47,54724.0
TWOCOND,RANDOMRANDOM,take,100,10,48,56056.0
TWOCOND,RANDOMRANDOM,take,100,10,49,58332.0
TWOCOND,RANDOMRANDOM,take,100,10,50,59909.0
TWOCOND,RANDOMRANDOM,take,100,10,51,61518.0
TWOCOND,RANDOMRANDOM,take,100,10,52,63145.0
TWOCOND,RANDOMRANDOM,take,100,10,53,65020.0
TWOCOND,RANDOMRANDOM,take,100,10,54,66426.0
TWOCOND,RANDOMRANDOM,take,100,10,55,68227.0
TWOCOND,RANDOMRANDOM,take,100,10,56,69670.0
TWOCOND,RANDOMRANDOM,take,100,10,57,72028.0
TWOCOND,RANDOMRANDOM,take,100,10,58,74161.0
TWOCOND,RANDOMRANDOM,take,100,10,59,75362.0
TWOCOND,RANDOMRANDOM,take,100,10,60,77821.0
TWOCOND,RANDOMRANDOM,take,100,10,61,78917.0
TWOCOND,RANDOMRANDOM,take,100,10,62,81504.0
TWOCOND,RANDOMRANDOM,take,100,10,63,83763.0
TWOCOND,RANDOMRANDOM,take,100,10,64,85640.0
TWOCOND,RANDOMRANDOM,take,100,10,65,87701.0
TWOCOND,RANDOMRANDOM,take,100,10,66,89055.0
TWOCOND,RANDOMRANDOM,take,100,10,67,91961.0
TWOCOND,RANDOMRANDOM,take,100,10,68,94736.0
TWOCOND,RANDOMRANDOM,take,100,10,69,96243.0
TWOCOND,RANDOMRANDOM,take,100,10,70,97470.0
TWOCOND,RANDOMRANDOM,take,100,10,71,99117.0
TWOCOND,RANDOMRANDOM,take,100,10,72,102357.0
TWOCOND,RANDOMRANDOM,take,100,10,73,104002.0
TWOCOND,RANDOMRANDOM,take,100,10,74,106472.0
TWOCOND,RANDOMRANDOM,take,100,10,75,107865.0
TWOCOND,RANDOMRANDOM,take,100,10,76,110077.0
TWOCOND,RANDOMRANDOM,take,100,10,77,111906.0
TWOCOND,RANDOMRANDOM,take,100,10,78,114155.0
TWOCOND,RANDOMRANDOM,take,100,10,79,116436.0
TWOCOND,RANDOMRANDOM,take,100,10,80,117891.0
TWOCOND,RANDOMRANDOM,take,100,10,81,120100.0
TWOCOND,RANDOMRANDOM,take,100,10,82,122803.0
TWOCOND,RANDOMRANDOM,take,100,10,83,125092.0
TWOCOND,RANDOMRANDOM,take,100,10,84,127126.0
TWOCOND,RANDOMRANDOM,take,100,10,85,129040.0
TWOCOND,RANDOMRANDOM,take,100,10,86,132289.0
TWOCOND,RANDOMRANDOM,take,100,10,87,132421.0
TWOCOND,RANDOMRANDOM,take,100,10,88,134609.0
TWOCOND,RANDOMRANDOM,take,100,10,89,137329.0
TWOCOND,RANDOMRANDOM,take,100,10,90,138692.0
TWOCOND,RANDOMRANDOM,take,100,10,91,139769.0
TWOCOND,RANDOMRANDOM,take,100,10,92,142932.0
TWOCOND,RANDOMRANDOM,take,100,10,93,143540.0
TWOCOND,RANDOMRANDOM,take,100,10,94,146729.0
TWOCOND,RANDOMRANDOM,take,100,10,95,147116.0
TWOCOND,RANDOMRANDOM,take,100,10,96,148614.0
TWOCOND,RANDOMRANDOM,take,100,10,97,150100.0
TWOCOND,RANDOMRANDOM,take,100,10,98,150718.0
TWOCOND,RANDOMRANDOM,take,100,10,99,153782.0
TWOCOND,RANDOMRANDOM,take,100,10,100,152743.0
TWOCOND,RANDOMRANDOM,put,100,10,2,1022.0
TWOCOND,RANDOMRANDOM,put,100,10,3,1969.0
TWOCOND,RANDOMRANDOM,put,100,10,4,2982.0
TWOCOND,RANDOMRANDOM,put,100,10,5,3981.0
TWOCOND,RANDOMRANDOM,put,100,10,6,4870.0
TWOCOND,RANDOMRANDOM,put,100,10,7,5906.0
TWOCOND,RANDOMRANDOM,put,100,10,8,6829.0
TWOCOND,RANDOMRANDOM,put,100,10,9,7858.0
TWOCOND,RANDOMRANDOM,put,100,10,10,9129.0
TWOCOND,RANDOMRANDOM,put,100,10,11,10004.0
TWOCOND,RANDOMRANDOM,put,100,10,12,10917.0
TWOCOND,RANDOMRANDOM,put,100,10,13,11941.0
TWOCOND,RANDOMRANDOM,put,100,10,14,13197.0
TWOCOND,RANDOMRANDOM,put,100,10,15,14187.0
TWOCOND,RANDOMRANDOM,put,100,10,16,15253.0
TWOCOND,RANDOMRANDOM,put,100,10,17,16153.0
TWOCOND,RANDOMRANDOM,put,100,10,18,17233.0
TWOCOND,RANDOMRANDOM,put,100,10,19,18121.0
TWOCOND,RANDOMRANDOM,put,100,10,20,19550.0
TWOCOND,RANDOMRANDOM,put,100,10,21,20563.0
TWOCOND,RANDOMRANDOM,put,100,10,22,21445.0
TWOCOND,RANDOMRANDOM,put,100,10,23,22905.0
TWOCOND,RANDOMRANDOM,put,100,10,24,23796.0
TWOCOND,RANDOMRANDOM,put,100,10,25,24903.0
TWOCOND,RANDOMRANDOM,put,100,10,26,26295.0
TWOCOND,RANDOMRANDOM,put,100,10,27,27222.0
TWOCOND,RANDOMRANDOM,put,100,10,28,28931.0
TWOCOND,RANDOMRANDOM,put,100,10,29,29712.0
TWOCOND,RANDOMRANDOM,put,100,10,30,31066.0
TWOCOND,RANDOMRANDOM,put,100,10,31,31945.0
TWOCOND,RANDOMRANDOM,put,100,10,32,33386.0
TWOCOND,RANDOMRANDOM,put,100,10,33,34715.0
TWOCOND,RANDOMRANDOM,put,100,10,34,36513.0
TWOCOND,RANDOMRANDOM,put,100,10,35,38035.0
TWOCOND,RANDOMRANDOM,put,100,10,36,38293.0
TWOCOND,RANDOMRANDOM,put,100,10,37,39949.0
TWOCOND,RANDOMRANDOM,put,100,10,38,41866.0
TWOCOND,RANDOMRANDOM,put,100,10,39,42847.0
TWOCOND,RANDOMRANDOM,put,100,10,40,43926.0
TWOCOND,RANDOMRANDOM,put,100,10,41,45665.0
TWOCOND,RANDOMRANDOM,put,100,10,42,47421.0
TWOCOND,RANDOMRANDOM,put,100,10,43,48711.0
TWOCOND,RANDOMRANDOM,put,100,10,44,50309.0
TWOCOND,RANDOMRANDOM,put,100,10,45,52258.0
TWOCOND,RANDOMRANDOM,put,100,10,46,53202.0
TWOCOND,RANDOMRANDOM,put,100,10,47,54109.0
TWOCOND,RANDOMRANDOM,put,100,10,48,56684.0
TWOCOND,RANDOMRANDOM,put,100,10,49,58524.0
TWOCOND,RANDOMRANDOM,put,100,10,50,59807.0
TWOCOND,RANDOMRANDOM,put,100,10,51,61754.0
TWOCOND,RANDOMRANDOM,put,100,10,52,63732.0
TWOCOND,RANDOMRANDOM,put,100,10,53,64278.0
TWOCOND,RANDOMRANDOM,put,100,10,54,66663.0
TWOCOND,RANDOMRANDOM,put,100,10,55,68016.0
TWOCOND,RANDOMRANDOM,put,100,10,56,70287.0
TWOCOND,RANDOMRANDOM,put,100,10,57,71425.0
TWOCOND,RANDOMRANDOM,put,100,10,58,73995.0
TWOCOND,RANDOMRANDOM,put,100,10,59,75243.0
TWOCOND,RANDOMRANDOM,put,100,10,60,77180.0
TWOCOND,RANDOMRANDOM,put,100,10,61,80339.0
TWOCOND,RANDOMRANDOM,put,100,10,62,81181.0
TWOCOND,RANDOMRANDOM,put,100,10,63,82969.0
TWOCOND,RANDOMRANDOM,put,100,10,64,85810.0
TWOCOND,RANDOMRANDOM,put,100,10,65,86892.0
TWOCOND,RANDOMRANDOM,put,100,10,66,89553.0
TWOCOND,RANDOMRANDOM,put,100,10,67,93039.0
TWOCOND,RANDOMRANDOM,put,100,10,68,93066.0
TWOCOND,RANDOMRANDOM,put,100,10,69,94731.0
TWOCOND,RANDOMRANDOM,put,100,10,70,98093.0
TWOCOND,RANDOMRANDOM,put,100,10,71,100255.0
TWOCOND,RANDOMRANDOM,put,100,10,72,101659.0
TWOCOND,RANDOMRANDOM,put,100,10,73,103444.0
TWOCOND,RANDOMRANDOM,put,100,10,74,105982.0
TWOCOND,RANDOMRANDOM,put,100,10,75,108250.0
TWOCOND,RANDOMRANDOM,put,100,10,76,110848.0
TWOCOND,RANDOMRANDOM,put,100,10,77,112242.0
TWOCOND,RANDOMRANDOM,put,100,10,78,115336.0
TWOCOND,RANDOMRANDOM,put,100,10,79,117042.0
TWOCOND,RANDOMRANDOM,put,100,10,80,118752.0
TWOCOND,RANDOMRANDOM,put,100,10,81,121247.0
TWOCOND,RANDOMRANDOM,put,100,10,82,123466.0
TWOCOND,RANDOMRANDOM,put,100,10,83,126175.0
TWOCOND,RANDOMRANDOM,put,100,10,84,127127.0
TWOCOND,RANDOMRANDOM,put,100,10,85,128035.0
TWOCOND,RANDOMRANDOM,put,100,10,86,130470.0
TWOCOND,RANDOMRANDOM,put,100,10,87,133228.0
TWOCOND,RANDOMRANDOM,put,100,10,88,134873.0
TWOCOND,RANDOMRANDOM,put,100,10,89,137707.0
TWOCOND,RANDOMRANDOM,put,100,10,90,139648.0
TWOCOND,RANDOMRANDOM,put,100,10,91,140265.0
TWOCOND,RANDOMRANDOM,put,100,10,92,140315.0
TWOCOND,RANDOMRANDOM,put,100,10,93,143338.0
TWOCOND,RANDOMRANDOM,put,100,10,94,145520.0
TWOCOND,RANDOMRANDOM,put,100,10,95,148278.0
TWOCOND,RANDOMRANDOM,put,100,10,96,148415.0
TWOCOND,RANDOMRANDOM,put,100,10,97,150562.0
TWOCOND,RANDOMRANDOM,put,100,10,98,152087.0
TWOCOND,RANDOMRANDOM,put,100,10,99,152307.0
TWOCOND,RANDOMRANDOM,put,100,10,100,153922.0
TWOCOND,SECURERANDOM,take,100,10,2,2980.0
TWOCOND,SECURERANDOM,take,100,10,3,3744.0
TWOCOND,SECURERANDOM,take,100,10,4,5042.0
TWOCOND,SECURERANDOM,take,100,10,5,6241.0
TWOCOND,SECURERANDOM,take,100,10,6,7358.0
TWOCOND,SECURERANDOM,take,100,10,7,8431.0
TWOCOND,SECURERANDOM,take,100,10,8,9613.0
TWOCOND,SECURERANDOM,take,100,10,9,10853.0
TWOCOND,SECURERANDOM,take,100,10,10,12078.0
TWOCOND,SECURERANDOM,take,100,10,11,13999.0
TWOCOND,SECURERANDOM,take,100,10,12,15021.0
TWOCOND,SECURERANDOM,take,100,10,13,15862.0
TWOCOND,SECURERANDOM,take,100,10,14,17520.0
TWOCOND,SECURERANDOM,take,100,10,15,18602.0
TWOCOND,SECURERANDOM,take,100,10,16,20196.0
TWOCOND,SECURERANDOM,take,100,10,17,21360.0
TWOCOND,SECURERANDOM,take,100,10,18,22927.0
TWOCOND,SECURERANDOM,take,100,10,19,24322.0
TWOCOND,SECURERANDOM,take,100,10,20,25565.0
TWOCOND,SECURERANDOM,take,100,10,21,27562.0
TWOCOND,SECURERANDOM,take,100,10,22,28379.0
TWOCOND,SECURERANDOM,take,100,10,23,29703.0
TWOCOND,SECURERANDOM,take,100,10,24,31640.0
TWOCOND,SECURERANDOM,take,100,10,25,32419.0
TWOCOND,SECURERANDOM,take,100,10,26,34430.0
TWOCOND,SECURERANDOM,take,100,10,27,35898.0
TWOCOND,SECURERANDOM,take,100,10,28,39140.0
TWOCOND,SECURERANDOM,take,100,10,29,38815.0
TWOCOND,SECURERANDOM,take,100,10,30,41081.0
TWOCOND,SECURERANDOM,take,100,10,31,42356.0
TWOCOND,SECURERANDOM,take,100,10,32,43949.0
TWOCOND,SECURERANDOM,take,100,10,33,47056.0
TWOCOND,SECURERANDOM,take,100,10,34,47488.0
TWOCOND,SECURERANDOM,take,100,10,35,48394.0
TWOCOND,SECURERANDOM,take,100,10,36,50784.0
TWOCOND,SECURERANDOM,take,100,10,37,52154.0
TWOCOND,SECURERANDOM,take,100,10,38,53180.0
TWOCOND,SECURERANDOM,take,100,10,39,56542.0
TWOCOND,SECURERANDOM,take,100,10,40,57513.0
TWOCOND,SECURERANDOM,take,100,10,41,59658.0
TWOCOND,SECURERANDOM,take,100,10,42,61166.0
TWOCOND,SECURERANDOM,take,100,10,43,63455.0
TWOCOND,SECURERANDOM,take,100,10,44,65084.0
TWOCOND,SECURERANDOM,take,100,10,45,66716.0
TWOCOND,SECURERANDOM,take,100,10,46,69147.0
TWOCOND,SECURERANDOM,take,100,10,47,70287.0
TWOCOND,SECURERANDOM,take,100,10,48,73118.0
TWOCOND,SECURERANDOM,take,100,10,49,73338.0
TWOCOND,SECURERANDOM,take,100,10,50,76545.0
TWOCOND,SECURERANDOM,take,100,10,51,78376.0
TWOCOND,SECURERANDOM,take,100,10,52,79960.0
TWOCOND,SECURERANDOM,take,100,10,53,82873.0
TWOCOND,SECURERANDOM,take,100,10,54,84541.0
TWOCOND,SECURERANDOM,take,100,10,55,86402.0
TWOCOND,SECURERANDOM,take,100,10,56,89377.0
TWOCOND,SECURERANDOM,take,100,10,57,91903.0
TWOCOND,SECURERANDOM,take,100,10,58,93199.0
TWOCOND,SECURERANDOM,take,100,10,59,96575.0
TWOCOND,SECURERANDOM,take,100,10,60,97261.0
TWOCOND,SECURERANDOM,take,100,10,61,98801.0
TWOCOND,SECURERANDOM,take,100,10,62,103176.0
