function,bufferSize,P+K,idx,time
takefourcond,100,10,1,3.7498791E7
takefourcond,100,10,2,4221540.0
takefourcond,100,10,3,3.5507147E7
takefourcond,100,10,4,3.7643285E7
takefourcond,100,10,5,2.5994487E7
takefourcond,100,10,6,1.8079532E7
takefourcond,100,10,7,2.7190356E7
takefourcond,100,10,8,4.9371696E7
takefourcond,100,10,9,1.6101873E7
takefourcond,100,10,10,3.9763374E7
takefourcond,100,10,11,4.3656432E7
takefourcond,100,10,12,3.0327807E7
takefourcond,100,10,13,5.9247379E7
takefourcond,100,10,14,7.3703285E7
takefourcond,100,10,15,1.6704094E7
takefourcond,100,10,16,2.5763303E7
takefourcond,100,10,17,4.6700111E7
takefourcond,100,10,18,5.5978966E7
takefourcond,100,10,19,4.6664823E7
takefourcond,100,10,20,9221333.0
takefourcond,100,10,21,1.8880946E7
takefourcond,100,10,22,4734925.0
takefourcond,100,10,23,4.8339876E7
takefourcond,100,10,24,5.0289594E7
takefourcond,100,10,25,2.0958434E7
takefourcond,100,10,26,1.0381518E7
takefourcond,100,10,27,2.3334878E7
takefourcond,100,10,28,2.6345807E7
takefourcond,100,10,29,3120916.0
takefourcond,100,10,30,2.9703389E7
takefourcond,100,10,31,2.9369661E7
takefourcond,100,10,32,2.4645203E7
takefourcond,100,10,33,1.5688753E7
takefourcond,100,10,34,4.9194806E7
takefourcond,100,10,35,8467687.0
takefourcond,100,10,36,5.5001702E7
takefourcond,100,10,37,3.0738222E7
takefourcond,100,10,38,1.07671342E8
takefourcond,100,10,39,5.4594435E7
takefourcond,100,10,40,4.1728434E7
takefourcond,100,10,41,3.9133705E7
takefourcond,100,10,42,2.4602785E7
takefourcond,100,10,43,6.757522E7
takefourcond,100,10,44,7.9832939E7
takefourcond,100,10,45,2.5518347E7
takefourcond,100,10,46,3.2578765E7
takefourcond,100,10,47,3.1775939E7
takefourcond,100,10,48,1.5578633E7
takefourcond,100,10,49,1.0657683E7
takefourcond,100,10,50,2.2161587E7
takefourcond,100,10,51,2.0931271E7
takefourcond,100,10,52,3.1402765E7
takefourcond,100,10,53,4.0247639E7
takefourcond,100,10,54,5.1675966E7
takefourcond,100,10,55,5.4474397E7
takefourcond,100,10,56,3.6950439E7
takefourcond,100,10,57,5.0382663E7
takefourcond,100,10,58,3.920491E7
takefourcond,100,10,59,5.01581E7
takefourcond,100,10,60,1.148491E8
takefourcond,100,10,61,7.5381376E7
takefourcond,100,10,62,2.7996996E7
takefourcond,100,10,63,4.8705779E7
takefourcond,100,10,64,5649858.0
takefourcond,100,10,65,1.4493854E7
takefourcond,100,10,66,3.7191756E7
takefourcond,100,10,67,1.4832305E7
takefourcond,100,10,68,7.723622E7
takefourcond,100,10,69,9641269.0
takefourcond,100,10,70,3.4852718E7
takefourcond,100,10,71,2.5916698E7
takefourcond,100,10,72,2.7470799E7
takefourcond,100,10,73,5.1447081E7
takefourcond,100,10,74,4.5512552E7
takefourcond,100,10,75,2.7616238E7
takefourcond,100,10,76,4.0819239E7
takefourcond,100,10,77,8.4626721E7
takefourcond,100,10,78,3.5897014E7
takefourcond,100,10,79,7980378.0
takefourcond,100,10,80,4.121589E7
takefourcond,100,10,81,3.9708443E7
takefourcond,100,10,82,3.0088002E7
takefourcond,100,10,83,3.0743775E7
takefourcond,100,10,84,4794877.0
takefourcond,100,10,85,2.3314776E7
takefourcond,100,10,86,5.4098223E7
takefourcond,100,10,87,4.9536995E7
takefourcond,100,10,88,6.5297963E7
takefourcond,100,10,89,2.4653736E7
takefourcond,100,10,90,2.9531801E7
takefourcond,100,10,91,2.5301409E7
takefourcond,100,10,92,4.5619744E7
takefourcond,100,10,93,4.9089917E7
takefourcond,100,10,94,2.2636498E7
takefourcond,100,10,95,4.2889516E7
takefourcond,100,10,96,1.19755114E8
takefourcond,100,10,97,4.4302131E7
takefourcond,100,10,98,6580815.0
takefourcond,100,10,99,5.1289596E7
putfourcond,100,10,1,2.529739E7
putfourcond,100,10,2,2.9267151E7
putfourcond,100,10,3,4.3890292E7
putfourcond,100,10,4,4.7850819E7
putfourcond,100,10,5,4.2698485E7
putfourcond,100,10,6,2.3696035E7
putfourcond,100,10,7,5.9738608E7
putfourcond,100,10,8,2153763.0
putfourcond,100,10,9,3.8402328E7
putfourcond,100,10,10,1.7172271E7
putfourcond,100,10,11,8.2127672E7
putfourcond,100,10,12,9.7859462E7
putfourcond,100,10,13,3.6711938E7
putfourcond,100,10,14,1.3252748E7
putfourcond,100,10,15,2.6294531E7
putfourcond,100,10,16,1.1397264E7
putfourcond,100,10,17,1.1639494E7
putfourcond,100,10,18,4.2946248E7
putfourcond,100,10,19,4.603728E7
putfourcond,100,10,20,1.2578243E7
putfourcond,100,10,21,1.3383978E7
putfourcond,100,10,22,4.8143064E7
putfourcond,100,10,23,7.2276438E7
putfourcond,100,10,24,4.4522472E7
putfourcond,100,10,25,5.1613288E7
putfourcond,100,10,26,2.5380112E7
putfourcond,100,10,27,1.3190082E7
putfourcond,100,10,28,4.4707552E7
putfourcond,100,10,29,5.3732708E7
putfourcond,100,10,30,2.1521018E7
