bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,executions
TWOCOND,RANDOMRANDOM,put,100,10,0,2161673
TWOCOND,RANDOMRANDOM,put,100,10,1,2142354
TWOCOND,RANDOMRANDOM,put,100,10,2,2152023
TWOCOND,RANDOMRANDOM,put,100,10,3,2145115
TWOCOND,RANDOMRANDOM,put,100,10,4,2144373
TWOCOND,RANDOMRANDOM,put,100,10,5,2148332
TWOCOND,RANDOMRANDOM,put,100,10,6,2144583
TWOCOND,RANDOMRANDOM,put,100,10,7,2145761
TWOCOND,RANDOMRANDOM,put,100,10,8,2150462
TWOCOND,RANDOMRANDOM,put,100,10,9,2146061
TWOCOND,RANDOMRANDOM,take,100,10,0,2149210
TWOCOND,RANDOMRANDOM,take,100,10,1,2149538
TWOCOND,RANDOMRANDOM,take,100,10,2,2138869
TWOCOND,RANDOMRANDOM,take,100,10,3,2143561
TWOCOND,RANDOMRANDOM,take,100,10,4,2150941
TWOCOND,RANDOMRANDOM,take,100,10,5,2149140
TWOCOND,RANDOMRANDOM,take,100,10,6,2141491
TWOCOND,RANDOMRANDOM,take,100,10,7,2151556
TWOCOND,RANDOMRANDOM,take,100,10,8,2146242
TWOCOND,RANDOMRANDOM,take,100,10,9,2154896
TWOCOND,SECURERANDOM,put,100,10,0,2039291
TWOCOND,SECURERANDOM,put,100,10,1,2044457
TWOCOND,SECURERANDOM,put,100,10,2,2068424
TWOCOND,SECURERANDOM,put,100,10,3,2057688
TWOCOND,SECURERANDOM,put,100,10,4,2050254
TWOCOND,SECURERANDOM,put,100,10,5,2057795
TWOCOND,SECURERANDOM,put,100,10,6,2061767
TWOCOND,SECURERANDOM,put,100,10,7,2054118
TWOCOND,SECURERANDOM,put,100,10,8,2052297
TWOCOND,SECURERANDOM,put,100,10,9,2038260
TWOCOND,SECURERANDOM,take,100,10,0,2046907
TWOCOND,SECURERANDOM,take,100,10,1,2053084
TWOCOND,SECURERANDOM,take,100,10,2,2064449
TWOCOND,SECURERANDOM,take,100,10,3,2061540
TWOCOND,SECURERANDOM,take,100,10,4,2053608
TWOCOND,SECURERANDOM,take,100,10,5,2044827
TWOCOND,SECURERANDOM,take,100,10,6,2063995
TWOCOND,SECURERANDOM,take,100,10,7,2046984
TWOCOND,SECURERANDOM,take,100,10,8,2047156
TWOCOND,SECURERANDOM,take,100,10,9,2044802
THREELOCKS,RANDOMRANDOM,put,100,10,0,4398150
THREELOCKS,RANDOMRANDOM,put,100,10,1,4390796
THREELOCKS,RANDOMRANDOM,put,100,10,2,4565728
THREELOCKS,RANDOMRANDOM,put,100,10,3,4500276
THREELOCKS,RANDOMRANDOM,put,100,10,4,4611092
