bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,meanTime
TWOCOND,RANDOMRANDOM,take,100,10,1,1757.0
TWOCOND,RANDOMRANDOM,take,100,10,2,2833.0
TWOCOND,RANDOMRANDOM,take,100,10,3,3992.0
TWOCOND,RANDOMRANDOM,take,100,10,4,5051.0
TWOCOND,RANDOMRANDOM,take,100,10,5,6373.0
TWOCOND,RANDOMRANDOM,take,100,10,6,7310.0
TWOCOND,RANDOMRANDOM,take,100,10,7,8509.0
TWOCOND,RANDOMRANDOM,take,100,10,8,9939.0
TWOCOND,RANDOMRANDOM,take,100,10,9,10842.0
TWOCOND,RANDOMRANDOM,take,100,10,10,12357.0
TWOCOND,RANDOMRANDOM,take,100,10,11,13278.0
TWOCOND,RANDOMRANDOM,take,100,10,12,14437.0
TWOCOND,RANDOMRANDOM,take,100,10,13,15986.0
TWOCOND,RANDOMRANDOM,take,100,10,14,17238.0
TWOCOND,RANDOMRANDOM,take,100,10,15,18093.0
TWOCOND,RANDOMRANDOM,take,100,10,16,19463.0
TWOCOND,RANDOMRANDOM,take,100,10,17,21018.0
TWOCOND,RANDOMRANDOM,take,100,10,18,21976.0
TWOCOND,RANDOMRANDOM,take,100,10,19,23447.0
TWOCOND,RANDOMRANDOM,take,100,10,20,24546.0
TWOCOND,RANDOMRANDOM,take,100,10,21,26283.0
TWOCOND,RANDOMRANDOM,take,100,10,22,27119.0
TWOCOND,RANDOMRANDOM,take,100,10,23,28718.0
TWOCOND,RANDOMRANDOM,take,100,10,24,30435.0
TWOCOND,RANDOMRANDOM,take,100,10,25,31569.0
TWOCOND,RANDOMRANDOM,take,100,10,26,33869.0
TWOCOND,RANDOMRANDOM,take,100,10,27,34519.0
TWOCOND,RANDOMRANDOM,take,100,10,28,35810.0
TWOCOND,RANDOMRANDOM,take,100,10,29,37114.0
TWOCOND,RANDOMRANDOM,take,100,10,30,38517.0
TWOCOND,RANDOMRANDOM,take,100,10,31,39973.0
TWOCOND,RANDOMRANDOM,take,100,10,32,41827.0
TWOCOND,RANDOMRANDOM,take,100,10,33,43991.0
TWOCOND,RANDOMRANDOM,take,100,10,34,45224.0
TWOCOND,RANDOMRANDOM,take,100,10,35,46715.0
TWOCOND,RANDOMRANDOM,take,100,10,36,49002.0
TWOCOND,RANDOMRANDOM,take,100,10,37,50141.0
TWOCOND,RANDOMRANDOM,take,100,10,38,51266.0
TWOCOND,RANDOMRANDOM,take,100,10,39,53379.0
TWOCOND,RANDOMRANDOM,take,100,10,40,56626.0
TWOCOND,RANDOMRANDOM,take,100,10,41,57164.0
TWOCOND,RANDOMRANDOM,take,100,10,42,59434.0
TWOCOND,RANDOMRANDOM,take,100,10,43,60929.0
TWOCOND,RANDOMRANDOM,take,100,10,44,62038.0
TWOCOND,RANDOMRANDOM,take,100,10,45,65214.0
TWOCOND,RANDOMRANDOM,take,100,10,46,65502.0
TWOCOND,RANDOMRANDOM,take,100,10,47,68102.0
TWOCOND,RANDOMRANDOM,take,100,10,48,70499.0
TWOCOND,RANDOMRANDOM,take,100,10,49,72175.0
TWOCOND,RANDOMRANDOM,take,100,10,50,74132.0
TWOCOND,RANDOMRANDOM,take,100,10,51,76107.0
TWOCOND,RANDOMRANDOM,take,100,10,52,77975.0
TWOCOND,RANDOMRANDOM,take,100,10,53,80433.0
TWOCOND,RANDOMRANDOM,take,100,10,54,82709.0
TWOCOND,RANDOMRANDOM,take,100,10,55,84254.0
TWOCOND,RANDOMRANDOM,take,100,10,56,85784.0
TWOCOND,RANDOMRANDOM,take,100,10,57,88127.0
TWOCOND,RANDOMRANDOM,take,100,10,58,91019.0
TWOCOND,RANDOMRANDOM,take,100,10,59,93481.0
TWOCOND,RANDOMRANDOM,take,100,10,60,95416.0
TWOCOND,RANDOMRANDOM,take,100,10,61,98205.0
TWOCOND,RANDOMRANDOM,take,100,10,62,100600.0
TWOCOND,RANDOMRANDOM,take,100,10,63,102091.0
TWOCOND,RANDOMRANDOM,take,100,10,64,105049.0
TWOCOND,RANDOMRANDOM,take,100,10,65,107340.0
TWOCOND,RANDOMRANDOM,take,100,10,66,110488.0
TWOCOND,RANDOMRANDOM,take,100,10,67,111323.0
TWOCOND,RANDOMRANDOM,take,100,10,68,115353.0
TWOCOND,RANDOMRANDOM,take,100,10,69,117573.0
TWOCOND,RANDOMRANDOM,take,100,10,70,119558.0
TWOCOND,RANDOMRANDOM,take,100,10,71,121260.0
TWOCOND,RANDOMRANDOM,take,100,10,72,124955.0
TWOCOND,RANDOMRANDOM,take,100,10,73,125429.0
TWOCOND,RANDOMRANDOM,take,100,10,74,127066.0
TWOCOND,RANDOMRANDOM,take,100,10,75,130946.0
TWOCOND,RANDOMRANDOM,take,100,10,76,133708.0
TWOCOND,RANDOMRANDOM,take,100,10,77,135594.0
TWOCOND,RANDOMRANDOM,take,100,10,78,140509.0
TWOCOND,RANDOMRANDOM,take,100,10,79,141964.0
TWOCOND,RANDOMRANDOM,take,100,10,80,143366.0
TWOCOND,RANDOMRANDOM,take,100,10,81,146333.0
TWOCOND,RANDOMRANDOM,take,100,10,82,148610.0
TWOCOND,RANDOMRANDOM,take,100,10,83,151722.0
TWOCOND,RANDOMRANDOM,take,100,10,84,152332.0
TWOCOND,RANDOMRANDOM,take,100,10,85,155613.0
TWOCOND,RANDOMRANDOM,take,100,10,86,157822.0
TWOCOND,RANDOMRANDOM,take,100,10,87,160460.0
TWOCOND,RANDOMRANDOM,take,100,10,88,162749.0
TWOCOND,RANDOMRANDOM,take,100,10,89,164953.0
TWOCOND,RANDOMRANDOM,take,100,10,90,166886.0
TWOCOND,RANDOMRANDOM,take,100,10,91,168714.0
TWOCOND,RANDOMRANDOM,take,100,10,92,169714.0
TWOCOND,RANDOMRANDOM,take,100,10,93,172316.0
TWOCOND,RANDOMRANDOM,take,100,10,94,175616.0
TWOCOND,RANDOMRANDOM,take,100,10,95,176288.0
TWOCOND,RANDOMRANDOM,take,100,10,96,180498.0
TWOCOND,RANDOMRANDOM,take,100,10,97,180377.0
TWOCOND,RANDOMRANDOM,take,100,10,98,181619.0
TWOCOND,RANDOMRANDOM,take,100,10,99,184281.0
TWOCOND,RANDOMRANDOM,put,100,10,1,1721.0
TWOCOND,RANDOMRANDOM,put,100,10,2,2841.0
TWOCOND,RANDOMRANDOM,put,100,10,3,3875.0
TWOCOND,RANDOMRANDOM,put,100,10,4,5306.0
TWOCOND,RANDOMRANDOM,put,100,10,5,6174.0
TWOCOND,RANDOMRANDOM,put,100,10,6,7543.0
TWOCOND,RANDOMRANDOM,put,100,10,7,8502.0
TWOCOND,RANDOMRANDOM,put,100,10,8,9644.0
TWOCOND,RANDOMRANDOM,put,100,10,9,10799.0
TWOCOND,RANDOMRANDOM,put,100,10,10,12238.0
TWOCOND,RANDOMRANDOM,put,100,10,11,13093.0
TWOCOND,RANDOMRANDOM,put,100,10,12,14479.0
TWOCOND,RANDOMRANDOM,put,100,10,13,15645.0
TWOCOND,RANDOMRANDOM,put,100,10,14,16674.0
TWOCOND,RANDOMRANDOM,put,100,10,15,18351.0
TWOCOND,RANDOMRANDOM,put,100,10,16,19319.0
TWOCOND,RANDOMRANDOM,put,100,10,17,21267.0
TWOCOND,RANDOMRANDOM,put,100,10,18,21811.0
TWOCOND,RANDOMRANDOM,put,100,10,19,23482.0
TWOCOND,RANDOMRANDOM,put,100,10,20,24628.0
TWOCOND,RANDOMRANDOM,put,100,10,21,25624.0
TWOCOND,RANDOMRANDOM,put,100,10,22,27535.0
TWOCOND,RANDOMRANDOM,put,100,10,23,28563.0
TWOCOND,RANDOMRANDOM,put,100,10,24,30425.0
TWOCOND,RANDOMRANDOM,put,100,10,25,31883.0
TWOCOND,RANDOMRANDOM,put,100,10,26,32948.0
TWOCOND,RANDOMRANDOM,put,100,10,27,34612.0
TWOCOND,RANDOMRANDOM,put,100,10,28,36517.0
