bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,executions
TWOCOND,RANDOMRANDOM,put,100,10,1,2190061
TWOCOND,RANDOMRANDOM,put,100,10,2,2181207
TWOCOND,RANDOMRANDOM,put,100,10,3,2189974
TWOCOND,RANDOMRANDOM,put,100,10,4,2192824
TWOCOND,RANDOMRANDOM,put,100,10,5,2196593
TWOCOND,RANDOMRANDOM,put,100,10,6,2194636
TWOCOND,RANDOMRANDOM,put,100,10,7,2193530
TWOCOND,RANDOMRANDOM,put,100,10,8,2181881
TWOCOND,RANDOMRANDOM,put,100,10,9,2188760
TWOCOND,RANDOMRANDOM,put,100,10,10,2188260
TWOCOND,RANDOMRANDOM,take,100,10,1,2187590
TWOCOND,RANDOMRANDOM,take,100,10,2,2185413
TWOCOND,RANDOMRANDOM,take,100,10,3,2178151
TWOCOND,RANDOMRANDOM,take,100,10,4,2189498
TWOCOND,RANDOMRANDOM,take,100,10,5,2188503
TWOCOND,RANDOMRANDOM,take,100,10,6,2194814
TWOCOND,RANDOMRANDOM,take,100,10,7,2191416
TWOCOND,RANDOMRANDOM,take,100,10,8,2186041
TWOCOND,RANDOMRANDOM,take,100,10,9,2192257
TWOCOND,RANDOMRANDOM,take,100,10,10,2198717
TWOCOND,SECURERANDOM,put,100,10,1,1900330
TWOCOND,SECURERANDOM,put,100,10,2,1892191
TWOCOND,SECURERANDOM,put,100,10,3,1933089
TWOCOND,SECURERANDOM,put,100,10,4,1913336
TWOCOND,SECURERANDOM,put,100,10,5,1907113
TWOCOND,SECURERANDOM,put,100,10,6,1877458
TWOCOND,SECURERANDOM,put,100,10,7,1915755
TWOCOND,SECURERANDOM,put,100,10,8,1914308
TWOCOND,SECURERANDOM,put,100,10,9,1896888
TWOCOND,SECURERANDOM,put,100,10,10,1902612
TWOCOND,SECURERANDOM,take,100,10,1,1889431
TWOCOND,SECURERANDOM,take,100,10,2,1900610
TWOCOND,SECURERANDOM,take,100,10,3,1915151
TWOCOND,SECURERANDOM,take,100,10,4,1912794
TWOCOND,SECURERANDOM,take,100,10,5,1892681
TWOCOND,SECURERANDOM,take,100,10,6,1898996
TWOCOND,SECURERANDOM,take,100,10,7,1921562
TWOCOND,SECURERANDOM,take,100,10,8,1921132
TWOCOND,SECURERANDOM,take,100,10,9,1891671
TWOCOND,SECURERANDOM,take,100,10,10,1907660
THREELOCKS,RANDOMRANDOM,put,100,10,1,4484689
THREELOCKS,RANDOMRANDOM,put,100,10,2,4195592
THREELOCKS,RANDOMRANDOM,put,100,10,3,4218326
THREELOCKS,RANDOMRANDOM,put,100,10,4,4242171
THREELOCKS,RANDOMRANDOM,put,100,10,5,4507273
THREELOCKS,RANDOMRANDOM,put,100,10,6,4637019
THREELOCKS,RANDOMRANDOM,put,100,10,7,4451298
THREELOCKS,RANDOMRANDOM,put,100,10,8,4484174
THREELOCKS,RANDOMRANDOM,put,100,10,9,4355034
THREELOCKS,RANDOMRANDOM,put,100,10,10,4605496
THREELOCKS,RANDOMRANDOM,take,100,10,1,4413160
THREELOCKS,RANDOMRANDOM,take,100,10,2,4336038
THREELOCKS,RANDOMRANDOM,take,100,10,3,4480508
THREELOCKS,RANDOMRANDOM,take,100,10,4,4445662
THREELOCKS,RANDOMRANDOM,take,100,10,5,4516371
THREELOCKS,RANDOMRANDOM,take,100,10,6,4191617
THREELOCKS,RANDOMRANDOM,take,100,10,7,4412272
THREELOCKS,RANDOMRANDOM,take,100,10,8,4496167
THREELOCKS,RANDOMRANDOM,take,100,10,9,4266237
THREELOCKS,RANDOMRANDOM,take,100,10,10,4621381
THREELOCKS,SECURERANDOM,put,100,10,1,3647479
THREELOCKS,SECURERANDOM,put,100,10,2,3757895
THREELOCKS,SECURERANDOM,put,100,10,3,3641816
THREELOCKS,SECURERANDOM,put,100,10,4,3610500
THREELOCKS,SECURERANDOM,put,100,10,5,3612342
THREELOCKS,SECURERANDOM,put,100,10,6,3657717
THREELOCKS,SECURERANDOM,put,100,10,7,3681364
THREELOCKS,SECURERANDOM,put,100,10,8,3708132
THREELOCKS,SECURERANDOM,put,100,10,9,3646506
THREELOCKS,SECURERANDOM,put,100,10,10,3726678
THREELOCKS,SECURERANDOM,take,100,10,1,3749232
THREELOCKS,SECURERANDOM,take,100,10,2,3577545
THREELOCKS,SECURERANDOM,take,100,10,3,3635516
THREELOCKS,SECURERANDOM,take,100,10,4,3757328
THREELOCKS,SECURERANDOM,take,100,10,5,3633706
THREELOCKS,SECURERANDOM,take,100,10,6,3662435
THREELOCKS,SECURERANDOM,take,100,10,7,3659570
THREELOCKS,SECURERANDOM,take,100,10,8,3660456
THREELOCKS,SECURERANDOM,take,100,10,9,3704302
THREELOCKS,SECURERANDOM,take,100,10,10,3649781
FOURCOND,RANDOMRANDOM,put,100,10,1,1147715
FOURCOND,RANDOMRANDOM,put,100,10,2,990259
FOURCOND,RANDOMRANDOM,put,100,10,3,961276
FOURCOND,RANDOMRANDOM,put,100,10,4,1075417
FOURCOND,RANDOMRANDOM,put,100,10,5,947812
FOURCOND,RANDOMRANDOM,put,100,10,6,1184465
FOURCOND,RANDOMRANDOM,put,100,10,7,1064786
FOURCOND,RANDOMRANDOM,put,100,10,8,1225547
FOURCOND,RANDOMRANDOM,put,100,10,9,1142987
FOURCOND,RANDOMRANDOM,put,100,10,10,1130715
FOURCOND,RANDOMRANDOM,take,100,10,1,1127876
FOURCOND,RANDOMRANDOM,take,100,10,2,1177059
FOURCOND,RANDOMRANDOM,take,100,10,3,1169840
FOURCOND,RANDOMRANDOM,take,100,10,4,1064964
FOURCOND,RANDOMRANDOM,take,100,10,5,939230
FOURCOND,RANDOMRANDOM,take,100,10,6,1141888
FOURCOND,RANDOMRANDOM,take,100,10,7,1065505
FOURCOND,RANDOMRANDOM,take,100,10,8,1062682
FOURCOND,RANDOMRANDOM,take,100,10,9,1141564
FOURCOND,RANDOMRANDOM,take,100,10,10,978598
FOURCOND,SECURERANDOM,put,100,10,1,995535
FOURCOND,SECURERANDOM,put,100,10,2,998223
FOURCOND,SECURERANDOM,put,100,10,3,970071
FOURCOND,SECURERANDOM,put,100,10,4,980996
FOURCOND,SECURERANDOM,put,100,10,5,986232
FOURCOND,SECURERANDOM,put,100,10,6,993521
FOURCOND,SECURERANDOM,put,100,10,7,886633
FOURCOND,SECURERANDOM,put,100,10,8,945855
FOURCOND,SECURERANDOM,put,100,10,9,963011
FOURCOND,SECURERANDOM,put,100,10,10,1075288
FOURCOND,SECURERANDOM,take,100,10,1,973384
FOURCOND,SECURERANDOM,take,100,10,2,965600
FOURCOND,SECURERANDOM,take,100,10,3,1044394
FOURCOND,SECURERANDOM,take,100,10,4,996913
FOURCOND,SECURERANDOM,take,100,10,5,920288
FOURCOND,SECURERANDOM,take,100,10,6,962814
FOURCOND,SECURERANDOM,take,100,10,7,997542
FOURCOND,SECURERANDOM,take,100,10,8,985120
FOURCOND,SECURERANDOM,take,100,10,9,1002548
FOURCOND,SECURERANDOM,take,100,10,10,948220
