bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,meanTime
TWOCOND,RANDOMRANDOM,take,100,10,2,1552.0
TWOCOND,RANDOMRANDOM,take,100,10,3,2927.0
TWOCOND,RANDOMRANDOM,take,100,10,4,3673.0
TWOCOND,RANDOMRANDOM,take,100,10,5,4967.0
TWOCOND,RANDOMRANDOM,take,100,10,6,5939.0
TWOCOND,RANDOMRANDOM,take,100,10,7,7338.0
TWOCOND,RANDOMRANDOM,take,100,10,8,8303.0
TWOCOND,RANDOMRANDOM,take,100,10,9,9308.0
TWOCOND,RANDOMRANDOM,take,100,10,10,10795.0
TWOCOND,RANDOMRANDOM,take,100,10,11,12042.0
TWOCOND,RANDOMRANDOM,take,100,10,12,13183.0
TWOCOND,RANDOMRANDOM,take,100,10,13,14334.0
TWOCOND,RANDOMRANDOM,take,100,10,14,15495.0
TWOCOND,RANDOMRANDOM,take,100,10,15,16530.0
TWOCOND,RANDOMRANDOM,take,100,10,16,17457.0
TWOCOND,RANDOMRANDOM,take,100,10,17,19584.0
TWOCOND,RANDOMRANDOM,take,100,10,18,20238.0
TWOCOND,RANDOMRANDOM,take,100,10,19,22232.0
TWOCOND,RANDOMRANDOM,take,100,10,20,22830.0
TWOCOND,RANDOMRANDOM,take,100,10,21,24639.0
TWOCOND,RANDOMRANDOM,take,100,10,22,25318.0
TWOCOND,RANDOMRANDOM,take,100,10,23,27201.0
TWOCOND,RANDOMRANDOM,take,100,10,24,28123.0
TWOCOND,RANDOMRANDOM,take,100,10,25,29560.0
TWOCOND,RANDOMRANDOM,take,100,10,26,32046.0
TWOCOND,RANDOMRANDOM,take,100,10,27,32607.0
TWOCOND,RANDOMRANDOM,take,100,10,28,33675.0
TWOCOND,RANDOMRANDOM,take,100,10,29,35269.0
TWOCOND,RANDOMRANDOM,take,100,10,30,36922.0
TWOCOND,RANDOMRANDOM,take,100,10,31,37827.0
TWOCOND,RANDOMRANDOM,take,100,10,32,40233.0
TWOCOND,RANDOMRANDOM,take,100,10,33,41172.0
TWOCOND,RANDOMRANDOM,take,100,10,34,42777.0
TWOCOND,RANDOMRANDOM,take,100,10,35,44008.0
TWOCOND,RANDOMRANDOM,take,100,10,36,45777.0
TWOCOND,RANDOMRANDOM,take,100,10,37,47539.0
TWOCOND,RANDOMRANDOM,take,100,10,38,49067.0
TWOCOND,RANDOMRANDOM,take,100,10,39,50162.0
TWOCOND,RANDOMRANDOM,take,100,10,40,52632.0
TWOCOND,RANDOMRANDOM,take,100,10,41,55059.0
TWOCOND,RANDOMRANDOM,take,100,10,42,55456.0
TWOCOND,RANDOMRANDOM,take,100,10,43,57883.0
TWOCOND,RANDOMRANDOM,take,100,10,44,59675.0
TWOCOND,RANDOMRANDOM,take,100,10,45,61971.0
