bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,executions
FOURCOND,RANDOMRANDOM,put,100,10,0,84150
FOURCOND,RANDOMRANDOM,put,100,10,1,125008
FOURCOND,RANDOMRANDOM,put,100,10,2,26833
FOURCOND,RANDOMRANDOM,put,100,10,3,56227
FOURCOND,RANDOMRANDOM,put,100,10,4,90260
FOURCOND,RANDOMRANDOM,put,100,10,5,161702
FOURCOND,RANDOMRANDOM,put,100,10,6,145410
FOURCOND,RANDOMRANDOM,put,100,10,7,105579
FOURCOND,RANDOMRANDOM,put,100,10,8,113445
FOURCOND,RANDOMRANDOM,put,100,10,9,167774
FOURCOND,RANDOMRANDOM,take,100,10,0,92356
FOURCOND,RANDOMRANDOM,take,100,10,1,139308
FOURCOND,RANDOMRANDOM,take,100,10,2,60675
FOURCOND,RANDOMRANDOM,take,100,10,3,128484
FOURCOND,RANDOMRANDOM,take,100,10,4,69142
FOURCOND,RANDOMRANDOM,take,100,10,5,129302
FOURCOND,RANDOMRANDOM,take,100,10,6,128484
FOURCOND,RANDOMRANDOM,take,100,10,7,192524
FOURCOND,RANDOMRANDOM,take,100,10,8,122895
FOURCOND,RANDOMRANDOM,take,100,10,9,12950
FOURCOND,SECURERANDOM,put,100,10,0,97736
FOURCOND,SECURERANDOM,put,100,10,1,99076
FOURCOND,SECURERANDOM,put,100,10,2,90473
FOURCOND,SECURERANDOM,put,100,10,3,88245
FOURCOND,SECURERANDOM,put,100,10,4,89966
FOURCOND,SECURERANDOM,put,100,10,5,93113
FOURCOND,SECURERANDOM,put,100,10,6,88405
FOURCOND,SECURERANDOM,put,100,10,7,96245
FOURCOND,SECURERANDOM,put,100,10,8,91524
FOURCOND,SECURERANDOM,put,100,10,9,99997
FOURCOND,SECURERANDOM,take,100,10,0,88985
FOURCOND,SECURERANDOM,take,100,10,1,103977
FOURCOND,SECURERANDOM,take,100,10,2,95455
FOURCOND,SECURERANDOM,take,100,10,3,91716
FOURCOND,SECURERANDOM,take,100,10,4,95824
FOURCOND,SECURERANDOM,take,100,10,5,88315
FOURCOND,SECURERANDOM,take,100,10,6,88585
FOURCOND,SECURERANDOM,take,100,10,7,101042
FOURCOND,SECURERANDOM,take,100,10,8,90708
FOURCOND,SECURERANDOM,take,100,10,9,91518
