bufferType,rngType,function,bufferSize,prodConsCount,putTakeChunk,meanTime
FOURCOND,RANDOMRANDOM,take,100,10,1,76758.0
FOURCOND,RANDOMRANDOM,take,100,10,2,158318.0
FOURCOND,RANDOMRANDOM,take,100,10,3,87295.0
FOURCOND,RANDOMRANDOM,take,100,10,4,19965.0
FOURCOND,RANDOMRANDOM,take,100,10,5,22698.0
FOURCOND,RANDOMRANDOM,take,100,10,6,153903.0
FOURCOND,RANDOMRANDOM,take,100,10,7,18991.0
FOURCOND,RANDOMRANDOM,take,100,10,8,172361.0
FOURCOND,RANDOMRANDOM,take,100,10,9,76628.0
FOURCOND,RANDOMRANDOM,take,100,10,10,22239.0
FOURCOND,RANDOMRANDOM,take,100,10,11,48994.0
FOURCOND,RANDOMRANDOM,take,100,10,12,155879.0
FOURCOND,RANDOMRANDOM,take,100,10,13,88150.0
FOURCOND,RANDOMRANDOM,take,100,10,14,104183.0
FOURCOND,RANDOMRANDOM,take,100,10,15,119266.0
FOURCOND,RANDOMRANDOM,take,100,10,16,137582.0
FOURCOND,RANDOMRANDOM,take,100,10,17,61540.0
FOURCOND,RANDOMRANDOM,take,100,10,18,75718.0
FOURCOND,RANDOMRANDOM,take,100,10,19,63300.0
FOURCOND,RANDOMRANDOM,take,100,10,20,121942.0
FOURCOND,RANDOMRANDOM,take,100,10,21,390071.0
FOURCOND,RANDOMRANDOM,take,100,10,22,91013.0
FOURCOND,RANDOMRANDOM,take,100,10,23,512083.0
FOURCOND,RANDOMRANDOM,take,100,10,24,73402.0
FOURCOND,RANDOMRANDOM,take,100,10,25,26610.0
FOURCOND,RANDOMRANDOM,take,100,10,26,51850.0
FOURCOND,RANDOMRANDOM,take,100,10,27,28627.0
FOURCOND,RANDOMRANDOM,take,100,10,28,35053.0
FOURCOND,RANDOMRANDOM,take,100,10,29,201096.0
FOURCOND,RANDOMRANDOM,take,100,10,30,68679.0
FOURCOND,RANDOMRANDOM,take,100,10,31,112820.0
FOURCOND,RANDOMRANDOM,take,100,10,32,119212.0
FOURCOND,RANDOMRANDOM,take,100,10,33,63768.0
FOURCOND,RANDOMRANDOM,take,100,10,34,34473.0
FOURCOND,RANDOMRANDOM,take,100,10,35,52861.0
FOURCOND,RANDOMRANDOM,take,100,10,36,25685.0
FOURCOND,RANDOMRANDOM,take,100,10,37,102050.0
FOURCOND,RANDOMRANDOM,take,100,10,38,165693.0
FOURCOND,RANDOMRANDOM,take,100,10,39,95343.0
FOURCOND,RANDOMRANDOM,take,100,10,40,93954.0
FOURCOND,RANDOMRANDOM,take,100,10,41,375778.0
FOURCOND,RANDOMRANDOM,take,100,10,42,75299.0
FOURCOND,RANDOMRANDOM,take,100,10,43,141309.0
FOURCOND,RANDOMRANDOM,take,100,10,44,147225.0
FOURCOND,RANDOMRANDOM,take,100,10,45,89620.0
FOURCOND,RANDOMRANDOM,take,100,10,46,267052.0
FOURCOND,RANDOMRANDOM,take,100,10,47,304457.0
FOURCOND,RANDOMRANDOM,take,100,10,48,88970.0
FOURCOND,RANDOMRANDOM,take,100,10,49,372826.0
FOURCOND,RANDOMRANDOM,take,100,10,50,57454.0
FOURCOND,RANDOMRANDOM,take,100,10,51,78847.0
FOURCOND,RANDOMRANDOM,take,100,10,52,91583.0
FOURCOND,RANDOMRANDOM,take,100,10,53,166683.0
FOURCOND,RANDOMRANDOM,take,100,10,54,18789.0
FOURCOND,RANDOMRANDOM,take,100,10,55,176195.0
FOURCOND,RANDOMRANDOM,take,100,10,56,200277.0
FOURCOND,RANDOMRANDOM,take,100,10,57,350812.0
FOURCOND,RANDOMRANDOM,take,100,10,58,25362.0
FOURCOND,RANDOMRANDOM,take,100,10,59,123692.0
FOURCOND,RANDOMRANDOM,take,100,10,60,91464.0
FOURCOND,RANDOMRANDOM,take,100,10,61,152630.0
FOURCOND,RANDOMRANDOM,take,100,10,62,238682.0
FOURCOND,RANDOMRANDOM,take,100,10,63,359218.0
FOURCOND,RANDOMRANDOM,take,100,10,64,128278.0
FOURCOND,RANDOMRANDOM,take,100,10,65,160091.0
FOURCOND,RANDOMRANDOM,take,100,10,66,124147.0
FOURCOND,RANDOMRANDOM,take,100,10,67,163955.0
FOURCOND,RANDOMRANDOM,take,100,10,68,108172.0
